Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,165,0,Some Random Commen with Id 0
1,0,8,193,6,Some Random Commen with Id 1
2,0,8,81,2,Some Random Commen with Id 2
3,0,8,148,6,Some Random Commen with Id 3
4,0,8,100,2,Some Random Commen with Id 4
5,0,8,165,3,Some Random Commen with Id 5
6,1,6,165,6,Some Random Commen with Id 6
7,1,6,37,2,Some Random Commen with Id 7
8,1,6,124,9,Some Random Commen with Id 8
9,2,3,157,0,Some Random Commen with Id 9
10,2,3,96,7,Some Random Commen with Id 10
11,2,3,78,2,Some Random Commen with Id 11
12,2,3,158,6,Some Random Commen with Id 12
13,2,3,135,4,Some Random Commen with Id 13
14,2,3,117,0,Some Random Commen with Id 14
15,2,3,4,7,Some Random Commen with Id 15
16,2,3,176,0,Some Random Commen with Id 16
17,3,6,134,0,Some Random Commen with Id 17
18,3,6,152,7,Some Random Commen with Id 18
19,4,4,145,9,Some Random Commen with Id 19
20,4,4,168,0,Some Random Commen with Id 20
21,4,4,183,8,Some Random Commen with Id 21
22,4,4,155,0,Some Random Commen with Id 22
23,4,4,115,1,Some Random Commen with Id 23
24,4,4,168,3,Some Random Commen with Id 24
25,4,4,199,0,Some Random Commen with Id 25
26,4,4,153,5,Some Random Commen with Id 26
27,5,2,39,9,Some Random Commen with Id 27
28,5,2,51,0,Some Random Commen with Id 28
29,5,2,7,3,Some Random Commen with Id 29
30,5,2,139,0,Some Random Commen with Id 30
31,5,2,39,8,Some Random Commen with Id 31
32,5,2,172,1,Some Random Commen with Id 32
33,5,2,198,9,Some Random Commen with Id 33
34,5,2,47,9,Some Random Commen with Id 34
35,6,7,183,4,Some Random Commen with Id 35
36,7,0,160,7,Some Random Commen with Id 36
37,7,0,135,2,Some Random Commen with Id 37
38,7,0,67,4,Some Random Commen with Id 38
39,7,0,27,8,Some Random Commen with Id 39
40,7,0,25,2,Some Random Commen with Id 40
41,7,0,13,7,Some Random Commen with Id 41
42,8,7,98,3,Some Random Commen with Id 42
43,8,7,144,8,Some Random Commen with Id 43
44,8,7,26,0,Some Random Commen with Id 44
45,8,7,188,7,Some Random Commen with Id 45
46,8,7,139,1,Some Random Commen with Id 46
47,8,7,197,0,Some Random Commen with Id 47
48,8,7,74,2,Some Random Commen with Id 48
49,9,3,166,5,Some Random Commen with Id 49
50,9,3,98,2,Some Random Commen with Id 50
51,9,3,171,1,Some Random Commen with Id 51
52,9,3,5,5,Some Random Commen with Id 52
53,9,3,56,3,Some Random Commen with Id 53
54,9,3,122,4,Some Random Commen with Id 54
55,10,2,75,3,Some Random Commen with Id 55
56,10,2,125,8,Some Random Commen with Id 56
57,10,2,12,5,Some Random Commen with Id 57
58,10,2,180,5,Some Random Commen with Id 58
59,10,2,29,4,Some Random Commen with Id 59
60,10,2,60,9,Some Random Commen with Id 60
61,10,2,102,7,Some Random Commen with Id 61
62,10,2,75,6,Some Random Commen with Id 62
63,10,2,144,7,Some Random Commen with Id 63
64,11,2,100,9,Some Random Commen with Id 64
65,12,9,146,3,Some Random Commen with Id 65
66,12,9,75,3,Some Random Commen with Id 66
67,13,2,35,4,Some Random Commen with Id 67
68,13,2,101,8,Some Random Commen with Id 68
69,13,2,163,1,Some Random Commen with Id 69
70,13,2,137,0,Some Random Commen with Id 70
71,13,2,160,1,Some Random Commen with Id 71
72,13,2,51,3,Some Random Commen with Id 72
73,13,2,47,8,Some Random Commen with Id 73
74,13,2,158,6,Some Random Commen with Id 74
75,14,4,137,6,Some Random Commen with Id 75
76,14,4,88,8,Some Random Commen with Id 76
77,14,4,74,6,Some Random Commen with Id 77
78,15,4,78,9,Some Random Commen with Id 78
79,15,4,138,6,Some Random Commen with Id 79
